alsa-firmware 1.2.4-4
vlc-plugins-visualization 3.0.22-3
vpnc 1:0.5.3.r557.r241-1
vulkan-intel 1:26.0.4-1
vulkan-mesa-layers 1:26.0.4-1
vulkan-tools 1.4.341.0-2
waybar 0.15.0-2
waypaper 2.8-1
welcome 26.3-1
wget 1.25.0-3
which 2.23-1
whois 5.6.6-1
wifite 2:2.8.2-2
wireless-regdb 2026.02.04-1
wireplumber 0.5.14-1
wireshark-cli 4.6.4-2
wireshark-qt 4.6.4-2
wl-clipboard 1:2.3.0-1
wlogout 1.2.2-0
woff2-font-awesome 7.2.0-1
wofi 1.5.3-1
wofi-emoji 1.2-3
wpa_supplicant 2:2.11-5
xclip 0.13-6
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-4
xdg-desktop-portal-wlr 0.8.1-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xf86-video-qxl 0.1.6-2
xfsprogs 6.19.0-1
xl2tpd 1.3.20-1
xorg-server 21.1.22-1
xorg-xdpyinfo 1.4.0-1
xorg-xev 1.2.6-2
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkill 1.0.7-1
xorg-xrandr 1.5.3-1
xsettingsd 1.0.2-3
xss-lock 0.4.0-1
xwaylandvideobridge 0.4.0-3
xz 5.8.3-1
yarn 1.22.22-2
yay 12.5.7-1
zed 0.232.3-1
zenity 4.2.2-1
zettlr 4.3.1-1
zoxide 0.9.9-2
zram-generator 1.2.1-1
zsh 5.9-6
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-syntax-highlighting 0.8.0-2
